Bird ID,Treatment,FoxP2 Counts MMSt/Striatum
310YGHM,Control,0.673014988
390WBHM,HIGH,0.955223523
371YYLM,HIGH,0.808994167
388YGLM,MED,0.655615017
398YGLM,Control,0.730180389
388YGLM,MED,1.353515336
398WGHM,CONTROL,0.759543265
377WWLM,CONTROL,1.197625715
404WBHM,HIGH,1.036214153
300YGHM,HIGH,0.73171734
310YGHM,CONTROL,0.850211483
258YGHM,HIGH,0.939207932
125YGMM,MED,0.746396887
403WBHM,CONTROL,1.028004232
405YBHM,MED,0.764040863
303YGHM,HIGH,1.448695966
386WBHM,MED,0.814808079
160YGHM,CONTROL,0.929215211
132YGMM,CONTROL,0.837423655
356WBHM,MED,0.866812776
378YYLM,MED,0.894378656
