Bird ID,Treatment,FoxP2 Counts MMSt/Striatum
310YGHM,CONTROL,0.761613
390WBHM,HIGH,0.955224
371YYLM,HIGH,0.808994
388YGLM,MEDIUM,1.353515
398WGHM,CONTROL,0.759543
377WWLM,CONTROL,1.197626
404WBHM,HIGH,1.036214
300YGHM,HIGH,0.731717
258YGHM,HIGH,0.939208
125YGMM,MEDIUM,0.746397
403WBHM,CONTROL,1.028004
405YBHM,MEDIUM,0.764041
303YGHM,HIGH,1.448696
386WBHM,MEDIUM,0.814808
160YGHM,CONTROL,0.929215
132YGMM,CONTROL,0.837424
356WBHM,MEDIUM,0.866813
378YYLM,MEDIUM,0.894379
