Sample,Treatment,FoxP2 mRNA MMST:VSP
360YGHM,High Stress,1.302734673
385YBHM,High Stress,2.621849989
397YGHM,High Stress,1.328323718
402YGHM,High Stress,1.325402626
365YGHM,Control,1.283417304
367WWNM,Control,0.632014341
393YGHM,Control,1.232835629
