"","breath
rate","weight","baseline
CORT","stress
CORT","vocal
output","vocal
plasticity","vocal
conver-
gence","vocal
diversity","FOXP2"
"breath
rate",22,22,22,22,22,17,18,18,8
"weight",22,22,22,22,22,17,18,18,8
"baseline
CORT",22,22,23,22,23,17,18,18,9
"stress
CORT",22,22,22,22,22,17,18,18,8
"vocal
output",22,22,23,22,27,17,19,19,11
"vocal
plasticity",17,17,17,17,17,17,17,17,5
"vocal
conver-
gence",18,18,18,18,19,17,19,19,6
"vocal
diversity",18,18,18,18,19,17,19,19,6
"FOXP2",8,8,9,8,11,5,6,6,11
